prod_id,avg_rating,rating_count
0594451647,5.0,1
B003RRY9RS,5.0,1
B003RR95Q8,5.0,1
B003RIPMZU,5.0,1
B003RFRNYQ,5.0,2
B003RFHFJE,5.0,1
B003RF6H66,5.0,1
B003RDN2V6,5.0,1
B003RCI4OW,5.0,1
B003RCEAB8,5.0,1
B003RAMKNU,5.0,1
B003R7NWCQ,5.0,1
B003R7KX5A,5.0,1
B003R7KMU6,5.0,1
B003R7KMS8,5.0,2
B003R74POA,5.0,2
B003R70OA4,5.0,1
B003R6AGSK,5.0,1
B003R68HZO,5.0,1
B003R4XSG4,5.0,1
B003R3GVLE,5.0,1
B003R3CT74,5.0,1
B003R2Q2VY,5.0,1
B003R2NUCS,5.0,1
B003R233B6,5.0,1
B003QTKV9W,5.0,2
B003QSJTZA,5.0,2
B003RRFWRY,5.0,5
B003RV4AYQ,5.0,2
B003QSG0HK,5.0,5
B003RXCHL2,5.0,1
B003SX0NGC,5.0,1
B003SW737U,5.0,1
B003SW13WQ,5.0,1
B003SVURT2,5.0,1
B003SVFXOQ,5.0,1
B003SV82DA,5.0,1
B003ST3ZE8,5.0,1
B003SS7XKG,5.0,2
B003SRQR2C,5.0,2
B003SQR4R0,5.0,1
B003SPQZSA,5.0,1
B003SN46EC,5.0,1
B003SN0IL2,5.0,1
B003SGNFFA,5.0,1
B003SG9IOC,5.0,1
B003SG5A2Q,5.0,1
B003SG280I,5.0,1
B003SE6I7O,5.0,1
B003S911FS,5.0,1
B003S8WVKS,5.0,1
B003S8STEA,5.0,1
B003S8794Q,5.0,1
B003S1WLZ0,5.0,1
B003RYJS90,5.0,1
B003RYJ5BQ,5.0,1
B003QSG6SS,5.0,2
B003QRLFX0,5.0,1
B003OQUHH8,5.0,1
B003PU9B2U,5.0,1
B003PNIQCI,5.0,1
B003PN65FS,5.0,1
B003PJ6NPO,5.0,1
B003PJ6GU6,5.0,1
B003PHBUKE,5.0,1
B003PDIAQK,5.0,1
